trial,stage,test_accuracy,test_nll,parameters_per_stage,total_parameters
0,1,96.01,0.7584313751220703,110912,110912
0,2,97.23,0.7219733818054199,110912,221824
0,3,97.32,0.720600325012207,110912,332736
0,4,97.32,0.7223642965316772,110912,443648
0,5,97.36,0.7161364307403565,110912,554560
0,6,97.34,0.7166885511398315,110912,665472
0,7,97.44,0.7098005823135376,110912,776384
0,8,97.42,0.7098672168731689,110912,887296
1,1,96.44,0.49680163345336914,110912,110912
1,2,97.35,0.4601928557395935,110912,221824
1,3,97.35,0.45864056334495545,110912,332736
1,4,97.46,0.4520557229042053,110912,443648
1,5,97.43,0.45196626439094545,110912,554560
1,6,97.6,0.44139833154678343,110912,665472
1,7,97.57,0.4402912030220032,110912,776384
1,8,97.57,0.44015299367904664,110912,887296
2,1,96.42,0.5009793667793274,110912,110912
2,2,97.36,0.451070877456665,110912,221824
2,3,97.4,0.45019585037231447,110912,332736
2,4,97.37,0.45021408729553225,110912,443648
2,5,97.43,0.446475802898407,110912,554560
2,6,97.48,0.43838564796447754,110912,665472
2,7,97.51,0.43772782888412476,110912,776384
2,8,97.52,0.4380556886672974,110912,887296
