condition,accuracy,nll,ece,temperature,calibrated_nll,calibrated_ece
single,48.75999987125397,1.8686468601226807,1.931547187268734,1.0743510723114014,1.8642079830169678,1.6257548704743385
independent_mean,52.81999707221985,1.705628514289856,3.481707349419594,0.9578999876976013,1.7035566568374634,1.8673554062843323
joint_sum,54.93000149726868,1.6060243844985962,1.949423924088478,1.0555553436279297,1.6033059358596802,1.2678518891334534
joint_mean,49.7299998998642,2.9539120197296143,30.22565245628357,2.8635051250457764,1.8123533725738525,1.0089837945997715
