trial,stage,epoch,train_loss,test_accuracy,test_nll
0,1,1,2.2998191548665363,36.9,2.0063712631225585
0,1,2,2.1796228870391845,44.45,1.9191355922698974
0,1,3,2.150693086115519,45.47,1.8811110166549683
0,1,4,2.135200584665934,45.05,1.8572145807266236
0,1,5,2.12515566851298,45.35,1.8349170345306396
0,1,6,2.1199334645589194,46.68,1.8357988885879517
0,1,7,2.1212053990681965,46.21,1.8387063669204713
0,1,8,2.1151632278442385,47.68,1.8301216051101685
0,1,9,2.115721309407552,45.77,1.8421161249160767
0,1,10,2.107911173629761,45.57,1.8138125295639038
0,1,11,2.1089431578318276,46.4,1.808041107749939
0,1,12,2.1051731596628827,46.33,1.7972942638397216
0,1,13,2.09737057762146,47.09,1.7975883449554444
0,1,14,2.0906566593170166,45.99,1.7891486804962158
0,1,15,2.0936819657643637,45.81,1.7897333854675292
0,1,16,2.0913028750101725,47.51,1.770866279411316
0,1,17,2.094345443979899,48.05,1.7740484075546266
0,1,18,2.0997685878753662,45.51,1.7926854063034057
0,1,19,2.0882894507090253,47.91,1.7740115720748901
0,1,20,2.0873008931477863,46.83,1.7570689575195313
0,1,21,2.085198648579915,46.29,1.7814903087615968
0,1,22,2.0811589261372885,47.04,1.7740593276977539
0,1,23,2.0794333201090494,46.33,1.7886065111160279
0,1,24,2.0793647437413534,48.51,1.7703677925109864
0,1,25,2.080104381688436,46.93,1.7756470714569093
0,1,26,2.0957679434458414,45.7,1.803872466468811
0,1,27,2.092452839024862,46.06,1.7770595178604125
0,1,28,2.0791763403574626,47.62,1.771787018966675
0,1,29,2.0707232690175372,46.91,1.7543935985565187
0,1,30,2.079557652918498,46.69,1.7786410160064696
0,2,1,2.0788181274414064,49.69,1.5833096214294433
0,2,2,1.9756666110356649,63.77,1.4453489835739135
0,2,3,1.9532003126144408,64.77,1.433225842666626
0,2,4,1.9267513666152953,65.25,1.4600587570190429
0,2,5,1.9181333920796713,62.95,1.4666523612976075
0,2,6,1.911810581970215,63.64,1.4662912662506105
0,2,7,1.8960466341018676,63.12,1.47183890914917
0,2,8,1.8982466532389324,62.21,1.4929354091644287
0,2,9,1.902156059964498,63.17,1.4920056144714355
0,2,10,1.8935060709635416,63.15,1.4633683193206788
0,2,11,1.883423518371582,64.21,1.4484331066131593
0,2,12,1.9016206446329753,64.27,1.469530060005188
0,2,13,1.8994936681747436,64.53,1.4530322254180907
0,2,14,1.893577110417684,65.27,1.4571576593399047
0,2,15,1.8896933573404948,63.67,1.4329622276306153
0,2,16,1.8931929501851399,64.64,1.434595593070984
0,2,17,1.8930749537150064,64.36,1.4600289863586426
0,2,18,1.9037176254908244,65.03,1.4267149227142335
0,2,19,1.88356121412913,64.49,1.4476267078399658
0,2,20,1.8818891764322916,65.59,1.4475662307739259
0,2,21,1.8846046339035034,63.7,1.438964635848999
0,2,22,1.886976697731018,65.71,1.4355600996017457
0,2,23,1.8801149541219075,64.85,1.4336972719192504
0,2,24,1.892265478515625,64.05,1.4685647289276123
0,2,25,1.8877036697387695,64.39,1.4556007066726684
0,2,26,1.880874794069926,64.46,1.4442095777511597
0,2,27,1.8750221940994263,64.51,1.4379870374679566
0,2,28,1.8832483825683595,65.32,1.4267285455703735
0,2,29,1.8740439392725627,65.12,1.4344666702270508
0,2,30,1.8828132433573406,66.49,1.4352311264038087
0,3,1,1.9619678415934245,45.41,1.4867156894683837
0,3,2,1.8515675948460897,54.12,1.3159416500091552
0,3,3,1.8045501048405965,62.28,1.2519521036148071
0,3,4,1.7920732219060262,74.58,1.2068473806381226
0,3,5,1.7856086557388307,75.96,1.2004680906295777
0,3,6,1.7753208072662354,75.31,1.2056164808273315
0,3,7,1.7662068310419718,76.68,1.190802469444275
0,3,8,1.7696817586898803,77.89,1.1836688289642334
0,3,9,1.7725945129394531,77.87,1.1917799430847167
0,3,10,1.7628534418106079,75.74,1.1932329627990723
0,3,11,1.7555832850138346,75.31,1.1830333339691161
0,3,12,1.7565977567036946,75.07,1.1723363582611084
0,3,13,1.7544435000737508,75.23,1.1734954957962036
0,3,14,1.74956794535319,74.9,1.1837412008285522
0,3,15,1.747892172050476,74.59,1.1842455743789673
0,3,16,1.7486341190973917,74.41,1.1860978204727173
0,3,17,1.7354821937561036,74.52,1.1782008949279785
0,3,18,1.738944940884908,74.83,1.1701910467147827
0,3,19,1.744106859588623,75.28,1.1807180353164672
0,3,20,1.739223096783956,75.09,1.179172977256775
0,3,21,1.7476985553741455,76.46,1.1816719282150268
0,3,22,1.7424882216771445,75.61,1.1921958263397217
0,3,23,1.7442018999735514,76.95,1.1723204458236693
0,3,24,1.7347770247777303,78.06,1.1615424724578858
0,3,25,1.7288168286641439,79.22,1.1576487407684326
0,3,26,1.7265333293279013,78.03,1.1592402431488038
0,3,27,1.729489026896159,78.67,1.1600179544448852
0,3,28,1.7361006848653158,78.88,1.1671534790039062
0,3,29,1.736569032796224,78.23,1.1672883123397828
0,3,30,1.725631236330668,79.07,1.1587230184555053
0,4,1,1.7614030411402384,69.96,1.2019766183853149
0,4,2,1.7312886002222696,78.37,1.175638269996643
0,4,3,1.7221804860432943,80.45,1.1210643768310546
0,4,4,1.6729245402654012,79.68,1.0736105909347535
0,4,5,1.646317488861084,80.23,1.0256636798858643
0,4,6,1.6258928883870443,79.7,1.009291308403015
0,4,7,1.6159376848856608,80.05,0.9956432612419128
0,4,8,1.606381603940328,79.2,0.9756524388313293
0,4,9,1.6151764228185017,79.56,0.9685433894157409
0,4,10,1.594732799720764,80.29,0.9504962951660156
0,4,11,1.5985452366511026,80.04,0.9754976433753967
0,4,12,1.5951276082992554,80.16,0.9641139888763428
0,4,13,1.6004549381891886,80.53,0.9614196495056152
0,4,14,1.5982215850830077,80.35,0.9464402250289917
0,4,15,1.5981861404418944,80.38,0.9454342077255249
0,4,16,1.5966182357788086,80.3,0.9573488344192504
0,4,17,1.609327020072937,80.7,0.9697630123138428
0,4,18,1.5838374458948772,80.67,0.9432510226249695
0,4,19,1.585246452776591,80.78,0.9520421271324158
0,4,20,1.6169366532007854,80.63,0.9589229642868042
0,4,21,1.5900066218694051,80.63,0.950216668510437
0,4,22,1.597006021563212,80.69,0.9477602562904358
0,4,23,1.584024049313863,81.45,0.9422485700607299
0,4,24,1.5862144872029622,80.95,0.9469160005569458
0,4,25,1.5942962196985881,81.31,0.9479956334114075
0,4,26,1.571369024848938,81.38,0.9559083671569825
0,4,27,1.5909192794799805,80.86,0.9432008694648742
0,4,28,1.578026307106018,81.2,0.9391302280426025
0,4,29,1.5880387336095174,81.48,0.9384314059257507
0,4,30,1.5839391565322876,81.05,0.9206669959068299
0,5,1,1.6285927030563354,82.33,0.9209684241294861
0,5,2,1.557675334739685,85.5,0.8946578707695008
0,5,3,1.5295727465311686,86.95,0.8381176518440246
0,5,4,1.5061928190231324,88.33,0.8068641909599304
0,5,5,1.494680982462565,88.83,0.8017411802291871
0,5,6,1.480148405011495,89.04,0.7964191463470459
0,5,7,1.4883694697062175,88.99,0.7834012667655945
0,5,8,1.4837131521224975,88.95,0.7982359003067017
0,5,9,1.4796937545140585,89.25,0.7892528571128845
0,5,10,1.480420174853007,89.43,0.7741310632705688
0,5,11,1.4690661681493122,89.43,0.7699084609985352
0,5,12,1.4647243266423544,89.55,0.7734946983337402
0,5,13,1.4765583308537802,89.59,0.7637819186210633
0,5,14,1.4624066942850749,89.06,0.7765194685935974
0,5,15,1.4779441087722778,89.32,0.7672244483947754
0,5,16,1.471687433052063,89.29,0.756432055091858
0,5,17,1.4656878290812174,89.47,0.7554802556991577
0,5,18,1.473819613011678,89.3,0.7595097162246705
0,5,19,1.4618957394282024,88.78,0.7645105443954467
0,5,20,1.4655819650650024,89.29,0.763060013961792
0,5,21,1.4735754144668578,89.57,0.7539795070648193
0,5,22,1.4545242106119791,89.03,0.7544155542373657
0,5,23,1.465110928916931,89.81,0.745058748626709
0,5,24,1.4563925666173299,89.2,0.7681362394332886
0,5,25,1.457291113090515,89.6,0.7376101667404175
0,5,26,1.456753696123759,89.55,0.7517976036071777
0,5,27,1.458117708905538,89.78,0.759930392074585
0,5,28,1.4621303192774455,89.55,0.7629347729682923
0,5,29,1.4514894901911417,89.58,0.7528030070304871
0,5,30,1.4658599496841431,89.63,0.7494354362487793
0,6,1,1.5210555470148723,79.93,0.747275232219696
0,6,2,1.4630706988652546,90.15,0.6952423624038696
0,6,3,1.4260375299453736,90.37,0.6878295463562012
0,6,4,1.393765089861552,90.45,0.674020212841034
0,6,5,1.3835929784138998,90.84,0.6578453569412231
0,6,6,1.3748846018473306,90.41,0.6583423363685608
0,6,7,1.3662573155085245,90.88,0.647396047115326
0,6,8,1.3616542948404948,90.96,0.6441268135070801
0,6,9,1.369003020032247,90.91,0.6542692173957825
0,6,10,1.3611788070042927,91.17,0.6445505459785461
0,6,11,1.3565156321843466,91.15,0.6471580474853516
0,6,12,1.3604575424194336,91.16,0.6473399417877197
0,6,13,1.3523362018585205,91.19,0.6516085906028748
0,6,14,1.3478037676493326,91.22,0.6433755920410156
0,6,15,1.3638957863489787,91.09,0.6491219354629516
0,6,16,1.3530138781865437,91.17,0.6426793038368225
0,6,17,1.3550949700037638,91.1,0.6551035631179809
0,6,18,1.3530445337931316,91.0,0.6505246535301209
0,6,19,1.3485490593592326,91.31,0.6513661400794983
0,6,20,1.348991264851888,91.19,0.6455726813316345
0,6,21,1.3474110516230264,91.22,0.6416110746383668
0,6,22,1.348872312672933,91.09,0.6440220456123352
0,6,23,1.3431189542770385,91.19,0.6411634268760681
0,6,24,1.3533624417622885,91.05,0.6436687346458435
0,6,25,1.3457108573277792,91.1,0.6355302268028259
0,6,26,1.3435671575546264,91.2,0.6445468476295472
0,6,27,1.3392315861384074,91.25,0.6411800019264221
0,6,28,1.349129231007894,91.08,0.6534012697219849
0,6,29,1.340989457511902,91.29,0.6458641799926758
0,6,30,1.3432674036026,91.17,0.642343129825592
0,7,1,1.383480328687032,89.88,0.6394398852348327
0,7,2,1.3495812388102213,91.08,0.6271378820419311
0,7,3,1.3037349149068196,91.56,0.6099712730407715
0,7,4,1.2745371629714966,91.69,0.6068343229293823
0,7,5,1.2695106104532878,91.68,0.6032671738624573
0,7,6,1.2683506465911865,91.64,0.6038657004356385
0,7,7,1.2586709873199462,91.67,0.6031782371520996
0,7,8,1.2837933449427288,91.72,0.5982978521347045
0,7,9,1.277737492052714,91.62,0.603312797164917
0,7,10,1.2732157528559367,91.62,0.6007761486053467
0,7,11,1.2565684657414755,91.65,0.6019940805435181
0,7,12,1.2509073128382364,91.7,0.6033563694953918
0,7,13,1.2568833603541056,91.67,0.6015634679794312
0,7,14,1.2636657133102418,91.64,0.6008686290740967
0,7,15,1.2520801026026407,91.55,0.6025659937858582
