condition,trial,step,ensemble_accuracy,member_accuracy_mean,parameter_cosine_mean,parameter_relative_spread,logit_correlation_mean,prediction_disagreement_mean
noise_0.01,1,200,95.60546875,14.07470703125,0.17828623045768058,1.5997868776321411,-0.08749987969973258,92.58684430803571
noise_0.01,1,300,100.0,13.80615234375,0.16721671127847262,1.6390849351882935,-0.09389521713767733,92.40897042410714
noise_0.01,1,400,100.0,13.836669921875,0.16487214634461062,1.6477097272872925,-0.0951086502256138,92.44384765625
noise_0.01,1,500,100.0,13.7939453125,0.16364067659846374,1.6522488594055176,-0.09560036998508233,92.43861607142857
noise_0.01,1,600,100.0,13.75732421875,0.16265720767634256,1.6558942794799805,-0.09590097104332276,92.44559151785714
noise_0.01,1,700,100.0,13.726806640625,0.16184347681701183,1.6589325666427612,-0.09611714677885175,92.48046875
noise_0.01,1,800,100.0,13.751220703125,0.1612765214272908,1.661037564277649,-0.0963133595484708,92.45779854910714
noise_0.1,1,0,8.837890625,9.942626953125,0.1376988541867052,1.754186749458313,0.7686962102140699,81.34242466517857
noise_0.1,1,100,77.197265625,18.115234375,0.06248019216582179,2.1390862464904785,-0.046720828811105876,90.37737165178571
noise_0.1,1,200,99.51171875,18.426513671875,0.05490943769525204,2.187570571899414,-0.06203468779235014,91.61028180803571
noise_0.1,1,300,100.0,18.3349609375,0.05399022574004318,2.193671703338623,-0.06534578744322062,91.78815569196429
noise_0.1,1,400,100.0,18.389892578125,0.05343446165456304,2.1973650455474854,-0.0666601475261684,91.86139787946429
noise_0.1,1,500,100.0,18.463134765625,0.053329591772386005,2.1980345249176025,-0.06728150968306831,91.89104352678571
noise_0.1,1,600,100.0,18.359375,0.05307985789009503,2.1997010707855225,-0.06766166095621884,91.97300502232143
noise_0.1,1,700,100.0,18.39599609375,0.05293279009804662,2.200657844543457,-0.06809254077130131,91.97300502232143
noise_0.1,1,800,100.0,18.39599609375,0.05284534524460988,2.2012245655059814,-0.06837011803872883,92.00613839285714
independent,2,0,10.64453125,9.832763671875,-0.003533197516974594,2.6817851066589355,0.02592400531284511,91.0888671875
independent,2,100,76.46484375,14.7216796875,0.0015089727405990874,2.62839937210083,-0.07406554944048237,93.51283482142857
independent,2,200,99.072265625,15.301513671875,0.005103109437706215,2.5919077396392822,-0.08623833230480418,93.48842075892857
independent,2,300,100.0,15.5029296875,0.005359549383034131,2.589364767074585,-0.08888301387196407,93.40471540178571
independent,2,400,100.0,15.49072265625,0.005372808697367353,2.5892274379730225,-0.08968829218481135,93.42738560267857
independent,2,500,100.0,15.435791015625,0.00537389495210456,2.5892515182495117,-0.08999580087921848,93.45528738839286
independent,2,600,100.0,15.4052734375,0.00533421355898359,2.5896663665771484,-0.09025516069959849,93.49365234375
independent,2,700,100.0,15.435791015625,0.005314170865208975,2.5898640155792236,-0.09042507879036878,93.46575055803571
independent,2,800,100.0,15.49072265625,0.005270160185838384,2.590299606323242,-0.09055943140992895,93.51632254464286
noise_0,2,0,9.033203125,9.033203125,0.9999999744551522,0.0,0.9999999403953552,0.0
noise_0,2,100,23.681640625,23.681640625,1.0,0.0,1.0,0.0
noise_0,2,200,29.4921875,29.4921875,1.0,0.0,1.0,0.0
noise_0,2,300,33.544921875,33.544921875,1.0,0.0,1.0,0.0
noise_0,2,400,36.865234375,36.865234375,0.9999998807907104,0.0,0.9999998807907104,0.0
noise_0,2,500,38.37890625,38.37890625,1.0,0.0,0.9999999403953552,0.0
noise_0,2,600,41.30859375,41.30859375,1.0,0.0,1.0,0.0
noise_0,2,700,41.845703125,41.845703125,1.0,0.0,1.0,0.0
noise_0,2,800,40.72265625,40.72265625,1.0,0.0,0.9999998807907104,0.0
noise_1e-05,2,0,9.1796875,9.1796875,0.9999999446528298,0.0002523738075979054,0.9999999212367194,0.0
noise_1e-05,2,100,40.0390625,18.878173828125,0.6454016310828072,0.6713756918907166,0.08453419082798064,84.05064174107143
noise_1e-05,2,200,88.232421875,17.919921875,0.4094800353050232,1.0343999862670898,-0.04007254700159787,89.20724051339286
noise_1e-05,2,300,99.90234375,17.962646484375,0.38084609700100763,1.0876401662826538,-0.05223871287307702,90.19077845982143
noise_1e-05,2,400,100.0,17.608642578125,0.3752518083368029,1.0983432531356812,-0.05589500329889623,90.61976841517857
noise_1e-05,2,500,100.0,17.572021484375,0.37324727858815876,1.1022577285766602,-0.057932898780563846,90.67208426339286
noise_1e-05,2,600,100.0,17.559814453125,0.3717291961823191,1.1052294969558716,-0.05884335102330494,90.76450892857143
noise_1e-05,2,700,100.0,17.578125,0.37054911788020817,1.1075432300567627,-0.059736877239109684,90.80113002232143
noise_1e-05,2,800,100.0,17.523193359375,0.3696964223470007,1.1092276573181152,-0.0603472175342696,90.85518973214286
noise_0.0001,2,0,10.693359375,10.693359375,0.9999926430838448,0.0025393464602530003,0.9999997977699552,0.0
noise_0.0001,2,100,44.921875,17.51708984375,0.48814734177930014,0.9026656150817871,0.02232371471888785,87.46861049107143
noise_0.0001,2,200,95.068359375,17.950439453125,0.3262390270829201,1.1988303661346436,-0.054518963709207516,91.16908482142857
noise_0.0001,2,300,100.0,17.852783203125,0.31059789444719044,1.2336381673812866,-0.06358786459480013,91.46205357142857
noise_0.0001,2,400,100.0,17.83447265625,0.30803436573062626,1.2395316362380981,-0.0654441662066217,91.64341517857143
noise_0.0001,2,500,100.0,17.7734375,0.3063266910612583,1.243470549583435,-0.0662289380727868,91.68178013392857
noise_0.0001,2,600,100.0,17.85888671875,0.30521626344748903,1.2460408210754395,-0.06669071020691522,91.70445033482143
noise_0.0001,2,700,100.0,17.926025390625,0.3042941375502518,1.248193621635437,-0.06707578355313412,91.76199776785714
noise_0.0001,2,800,100.0,17.950439453125,0.30365036853722166,1.249701738357544,-0.06740743495590452,91.76897321428571
noise_0.001,2,0,10.107421875,10.107421875,0.9993173224585397,0.024457821622490883,0.9999640711716243,0.0
noise_0.001,2,100,58.30078125,18.83544921875,0.4025355779698917,1.047714114189148,-0.008374096975395722,88.54457310267857
noise_0.001,2,200,96.58203125,19.219970703125,0.2999671463455473,1.2582091093063354,-0.050294033251702785,90.78194754464286
noise_0.001,2,300,100.0,18.98193359375,0.28650482797196936,1.290048599243164,-0.05603793623075554,91.31208147321429
noise_0.001,2,400,100.0,19.012451171875,0.28386083777461735,1.296502947807312,-0.05760571307577526,91.42892020089286
noise_0.001,2,500,100.0,18.975830078125,0.2824552979852472,1.299945592880249,-0.058262614911135255,91.45159040178571
noise_0.001,2,600,100.0,18.88427734375,0.2813823936241014,1.302570104598999,-0.058791870311584456,91.49169921875
noise_0.001,2,700,100.0,18.841552734375,0.2805781609245709,1.3045493364334106,-0.05908509858584564,91.48297991071429
noise_0.001,2,800,100.0,18.896484375,0.27989201300910543,1.3062394857406616,-0.05942817953681307,91.48995535714286
