mode,members,accuracy,nll,member_accuracy_mean,member_accuracy_min,member_accuracy_max,mean_logit_correlation,leave_one_out_accuracy_mean,leave_one_out_accuracy_min
independent,1,68.90000104904175,0.9371963143348694,68.9000015258789,68.9000015258789,68.9000015258789,,,
independent,2,72.39000201225281,0.8949259519577026,69.7300033569336,69.52000427246094,69.94000244140625,0.7436898350715637,69.73000168800354,69.52000260353088
independent,3,80.57000041007996,0.7073389887809753,68.55000305175781,64.58000183105469,71.27000427246094,0.521273156007131,78.22666764259338,75.95000267028809
independent,5,80.14000058174133,0.7356367111206055,64.24600219726562,41.06999969482422,71.4800033569336,0.5412177920341492,79.40999984741211,78.11999917030334
independent,8,80.94000220298767,0.6966195106506348,65.81999969482422,38.90999984741211,71.98999786376953,0.48993031467710224,80.76874986290932,80.34999966621399
independent,16,80.51999807357788,0.7489076256752014,57.91875076293945,38.880001068115234,69.77000427246094,0.5562702258427937,80.55687472224236,80.29999732971191
joint_sum,1,69.91999745368958,0.9623298048973083,69.91999816894531,69.91999816894531,69.91999816894531,,,
joint_sum,2,78.29999923706055,0.7105151414871216,27.55500030517578,19.149999618530273,35.959999084472656,-0.31938597559928894,27.55500003695488,19.14999932050705
joint_sum,3,86.9700014591217,0.46087154746055603,18.823333740234375,12.100000381469727,23.540000915527344,-0.2435583391537269,45.496666431427,34.700000286102295
joint_sum,5,91.89000129699707,0.2769370377063751,14.754000663757324,11.350000381469727,17.290000915527344,-0.11472490541636944,66.80600047111511,55.070000886917114
joint_sum,8,94.0999984741211,0.2271636426448822,14.357501029968262,7.549999713897705,22.310001373291016,-0.04032702767290175,80.58875054121017,69.27000284194946
joint_sum,16,96.10999822616577,0.19241395592689514,14.4375,9.25,24.06999969482422,0.012283366010524332,92.76437424123287,87.34999895095825
