condition,accuracy,nll,ece,temperature,calibrated_nll,calibrated_ece
single,49.1100013256073,1.86233651638031,1.36496527120471,1.0494648218154907,1.859649658203125,1.527178380638361
independent_mean,52.99999713897705,1.6907132863998413,2.587965875864029,0.9702284336090088,1.689924955368042,1.5893690288066864
joint_sum,55.479997396469116,1.577195167541504,2.3989107459783554,1.077933430671692,1.573242425918579,1.3450147584080696
joint_mean,49.93999898433685,2.966704845428467,29.95108664035797,2.9073641300201416,1.809348464012146,1.5816714614629745
