vectors,trial,steps_per_stage,stage,accuracy,nll,correction_parameters,total_parameters,steps_per_epoch
128,0,500,1,100.0,0.00024628901155665517,1482,1482,5
128,0,500,2,100.0,3.352760913344355e-08,1482,2964,5
128,0,500,3,100.0,6.984917888530617e-08,1482,4446,5
128,0,500,4,100.0,1.8905811316471954e-07,1482,5928,5
128,0,500,5,100.0,1.1455210824351525e-06,1482,7410,5
128,0,500,6,100.0,3.1292370294977445e-07,1482,8892,5
128,0,500,7,100.0,2.4214383387288763e-08,1482,10374,5
128,0,500,8,100.0,1.0924307389359456e-05,1482,11856,5
128,1,500,1,100.0,0.00017641193699091673,1482,1482,5
128,1,500,2,100.0,2.1420417439799166e-08,1482,2964,5
128,1,500,3,100.0,3.5390254282674505e-08,1482,4446,5
128,1,500,4,100.0,4.1909508752269176e-08,1482,5928,5
128,1,500,5,100.0,2.0209655815506267e-07,1482,7410,5
128,1,500,6,100.0,2.0833533653785707e-06,1482,8892,5
128,1,500,7,100.0,2.0339630282251164e-06,1482,10374,5
128,1,500,8,100.0,5.5718846851959825e-06,1482,11856,5
128,2,500,1,100.0,0.0001833243586588651,1482,1482,5
128,2,500,2,100.0,2.2351738238057806e-08,1482,2964,5
128,2,500,3,100.0,8.51218771913409e-07,1482,4446,5
128,2,500,4,100.0,1.8067638052343682e-07,1482,5928,5
128,2,500,5,100.0,4.833547109228675e-07,1482,7410,5
128,2,500,6,100.0,8.475001322949538e-07,1482,8892,5
128,2,500,7,100.0,4.72715782962041e-06,1482,10374,5
128,2,500,8,100.0,2.7939675018018306e-09,1482,11856,5
512,0,500,1,100.0,0.005607290659099817,1482,1482,5
512,0,500,2,100.0,1.0865767762879841e-05,1482,2964,5
512,0,500,3,100.0,2.7474012398442937e-08,1482,4446,5
512,0,500,4,100.0,1.395981598761864e-06,1482,5928,5
512,0,500,5,100.0,5.979042043691152e-07,1482,7410,5
512,0,500,6,100.0,1.2887019238405628e-06,1482,8892,5
512,0,500,7,100.0,2.0502822735579684e-05,1482,10374,5
512,0,500,8,100.0,2.3981552743634893e-08,1482,11856,5
512,1,500,1,100.0,0.007395521737635136,1482,1482,5
512,1,500,2,100.0,2.0226914784871042e-05,1482,2964,5
512,1,500,3,100.0,6.053595313915139e-08,1482,4446,5
512,1,500,4,100.0,0.00021344749256968498,1482,5928,5
512,1,500,5,100.0,9.825451741107827e-08,1482,7410,5
512,1,500,6,100.0,1.404403633387119e-06,1482,8892,5
512,1,500,7,100.0,2.0353290892671794e-05,1482,10374,5
512,1,500,8,100.0,3.213062171880665e-08,1482,11856,5
512,2,500,1,99.8046875,0.01071064081043005,1482,1482,5
512,2,500,2,100.0,2.826676791300997e-05,1482,2964,5
512,2,500,3,100.0,6.915068695434456e-08,1482,4446,5
512,2,500,4,100.0,3.6345045373309404e-06,1482,5928,5
512,2,500,5,100.0,3.476417623460293e-05,1482,7410,5
512,2,500,6,100.0,4.2608000683230784e-08,1482,8892,5
512,2,500,7,100.0,1.0996398032148136e-06,1482,10374,5
512,2,500,8,100.0,1.9744010160138714e-07,1482,11856,5
2048,0,800,1,49.70703125,1.395684003829956,1482,1482,8
2048,0,800,2,77.880859375,0.693510890007019,1482,2964,8
2048,0,800,3,96.630859375,0.2472158819437027,1482,4446,8
2048,0,800,4,99.853515625,0.06904126703739166,1482,5928,8
2048,0,800,5,99.951171875,0.027191730216145515,1482,7410,8
