vectors,trial,stage,epoch,accuracy,nll
128,0,1,1,27.34375,2.1665573120117188
128,0,1,2,33.59375,1.9741140604019165
128,0,1,3,44.53125,1.729252815246582
128,0,1,4,52.34375,1.4526243209838867
128,0,1,5,65.625,1.174403190612793
128,0,1,6,68.75,0.9155640602111816
128,0,1,7,81.25,0.6862684488296509
128,0,1,8,85.9375,0.497429221868515
128,0,1,9,91.40625,0.3541157841682434
128,0,1,10,92.96875,0.249452143907547
128,0,1,11,94.53125,0.1767779290676117
128,0,1,12,96.875,0.1290215104818344
128,0,1,13,97.65625,0.09394974261522293
128,0,1,14,99.21875,0.0664265975356102
128,0,1,15,100.0,0.046094831079244614
128,0,1,16,100.0,0.030108748003840446
128,0,1,17,100.0,0.019839972257614136
128,0,1,18,100.0,0.01361135020852089
128,0,1,19,100.0,0.00990794412791729
128,0,1,20,100.0,0.007656418718397617
128,0,1,21,100.0,0.0062507139518857
128,0,1,22,100.0,0.0051951417699456215
128,0,1,23,100.0,0.00442286254838109
128,0,1,24,100.0,0.003860095515847206
128,0,1,25,100.0,0.00341666117310524
128,0,1,26,100.0,0.003072398481890559
128,0,1,27,100.0,0.0027972343377768993
128,0,1,28,100.0,0.0025609112344682217
128,0,1,29,100.0,0.002365200314670801
128,0,1,30,100.0,0.0022000321187078953
128,0,1,31,100.0,0.0020539830438792706
128,0,1,32,100.0,0.001927053090184927
128,0,1,33,100.0,0.001812673988752067
128,0,1,34,100.0,0.0017107287421822548
128,0,1,35,100.0,0.0016203487757593393
128,0,1,36,100.0,0.0015378955285996199
128,0,1,37,100.0,0.001461612293496728
128,0,1,38,100.0,0.0013926804531365633
128,0,1,39,100.0,0.0013276702957227826
128,0,1,40,100.0,0.0012692059390246868
128,0,1,41,100.0,0.0012143900385126472
128,0,1,42,100.0,0.0011623746249824762
128,0,1,43,100.0,0.001114020822569728
128,0,1,44,100.0,0.001067989505827427
128,0,1,45,100.0,0.001023744698613882
128,0,1,46,100.0,0.0009818905964493752
128,0,1,47,100.0,0.0009434825042262673
128,0,1,48,100.0,0.000908268557395786
128,0,1,49,100.0,0.0008744600927457213
128,0,1,50,100.0,0.0008426351705566049
128,0,1,51,100.0,0.000812913232948631
128,0,1,52,100.0,0.0007851091795600951
128,0,1,53,100.0,0.0007585607818327844
128,0,1,54,100.0,0.0007333813118748367
128,0,1,55,100.0,0.0007091474253684282
128,0,1,56,100.0,0.0006861771689727902
128,0,1,57,100.0,0.0006650411523878574
128,0,1,58,100.0,0.0006450960645452142
128,0,1,59,100.0,0.0006259357323870063
128,0,1,60,100.0,0.0006073024705983698
128,0,1,61,100.0,0.0005897433729842305
128,0,1,62,100.0,0.0005729565746150911
128,0,1,63,100.0,0.0005568381166085601
128,0,1,64,100.0,0.00054128811461851
128,0,1,65,100.0,0.0005266288062557578
128,0,1,66,100.0,0.0005126897594891489
128,0,1,67,100.0,0.0004989579902030528
128,0,1,68,100.0,0.0004859567270614207
128,0,1,69,100.0,0.00047338035074062645
128,0,1,70,100.0,0.0004615382058545947
128,0,1,71,100.0,0.00045000400859862566
128,0,1,72,100.0,0.00043912045657634735
128,0,1,73,100.0,0.0004285968607291579
128,0,1,74,100.0,0.00041831977432593703
128,0,1,75,100.0,0.0004084366955794394
128,0,1,76,100.0,0.0003989655524492264
128,0,1,77,100.0,0.0003898576251231134
128,0,1,78,100.0,0.00038117653457447886
128,0,1,79,100.0,0.00037282274570316076
128,0,1,80,100.0,0.00036480382550507784
128,0,1,81,100.0,0.0003570324624888599
128,0,1,82,100.0,0.0003494620614219457
128,0,1,83,100.0,0.00034219856024719775
128,0,1,84,100.0,0.0003351510677020997
128,0,1,85,100.0,0.000328260735841468
128,0,1,86,100.0,0.00032154153450392187
128,0,1,87,100.0,0.0003149889234919101
128,0,1,88,100.0,0.000308729475364089
128,0,1,89,100.0,0.0003025846090167761
128,0,1,90,100.0,0.0002965635503642261
128,0,1,91,100.0,0.00029085122514516115
128,0,1,92,100.0,0.0002853053156286478
128,0,1,93,100.0,0.0002798571949824691
128,0,1,94,100.0,0.0002745756646618247
128,0,1,95,100.0,0.0002695211151149124
128,0,1,96,100.0,0.0002646098437253386
128,0,1,97,100.0,0.00025980561622418463
