layer,shape,gradient_rms,parameter_rms,relative_gradient,epoch,train_loss,test_accuracy
4,2->10,0.14789600610576933,1.264529484833592,0.11695734095525262,25,0.06755040114720662,96.11
0,784->128,0.0011656503404404788,0.1056108641624768,0.011037219983695517,26,0.06778090691069762,96.49
1,128->64,0.0029566137564397614,0.1789894396581425,0.01651836981036519,26,0.06778090691069762,96.49
2,64->32,0.0023392296437830646,0.26460841870059854,0.008840344745119529,26,0.06778090691069762,96.49
3,32->2,0.016539552217875505,0.42281251457819397,0.0391179344214458,26,0.06778090691069762,96.49
4,2->10,0.26321814234038016,1.278493866238521,0.2058814275852515,26,0.06778090691069762,96.49
0,784->128,0.0008341104537729155,0.10707553544828609,0.00778992559106065,27,0.056131145897507666,96.81
1,128->64,0.0030847016616003657,0.1808761666724885,0.01705421846521529,27,0.056131145897507666,96.81
2,64->32,0.002972090799312878,0.2678485422797215,0.011096161935419261,27,0.056131145897507666,96.81
3,32->2,0.026728278414818746,0.4248536756989579,0.06291172689228401,27,0.056131145897507666,96.81
4,2->10,0.17464053816136021,1.2935801125750734,0.13500558370024404,27,0.056131145897507666,96.81
0,784->128,0.00040005525245141293,0.108370289456942,0.0036915584008536994,28,0.053485179901123045,96.92
1,128->64,0.0013571087025174642,0.18282440105958944,0.007423017357883796,28,0.053485179901123045,96.92
2,64->32,0.0019830046299038097,0.27067288418150687,0.007326203494276609,28,0.053485179901123045,96.92
3,32->2,0.01790857788272107,0.4305175828867998,0.04159778507208694,28,0.053485179901123045,96.92
4,2->10,0.11862847313539644,1.3089014767608367,0.09063208747298379,28,0.053485179901123045,96.92
0,784->128,0.00029569501655907476,0.10963283877178416,0.002697139104204968,29,0.04316976419687271,96.8
1,128->64,0.0009793961795334285,0.1844038615655497,0.005311147886021754,29,0.04316976419687271,96.8
2,64->32,0.0011594765218543477,0.27357958591864684,0.004238169006494871,29,0.04316976419687271,96.8
3,32->2,0.006988827707143803,0.43420514333066396,0.016095681533199725,29,0.04316976419687271,96.8
4,2->10,0.05820885769859705,1.3236584763771058,0.0439757375013172,29,0.04316976419687271,96.8
0,784->128,0.00043362120192401226,0.11054900954848072,0.003922434074182522,30,0.05080251408119996,97.01
1,128->64,0.0013275404544439652,0.18584816078942304,0.007143145505437656,30,0.05080251408119996,97.01
2,64->32,0.000997266095825601,0.2760231804182721,0.0036129795124843485,30,0.05080251408119996,97.01
3,32->2,0.007531077563296268,0.4398022417678007,0.017123781663794416,30,0.05080251408119996,97.01
4,2->10,0.03688099436001149,1.3402107410872799,0.02751880225199757,30,0.05080251408119996,97.01
