mode,members,accuracy,nll,member_accuracy_mean,member_accuracy_min,member_accuracy_max,mean_logit_correlation,leave_one_out_accuracy_mean,leave_one_out_accuracy_min
independent,69,81.48999810218811,0.6941038966178894,61.22608947753906,11.350000381469727,71.91999816894531,0.4789203355153439,81.5233329931895,81.3700020313263
joint_sum,69,96.95000052452087,0.2916734516620636,12.543913841247559,7.659999847412109,24.299999237060547,0.048183203342433895,96.69492771660072,95.21999955177307
